kafka.py:35 #INFO     [2026-02-03 17:48:37,038] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-03 17:48:37,039] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-03 17:48:37,059] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-03 17:48:37,059] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:48:37,059] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:48:39,779] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 60) with member_id aiokafka-0.13.0-94a18334-9211-4353-9b79-5f0a7d7d1e08
group_coordinator.py:1457 #INFO     [2026-02-03 17:48:39,962] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 60
group_coordinator.py:497 #INFO     [2026-02-03 17:48:39,963] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:55 #INFO     [2026-02-03 17:48:39,963] - root - 0| Kafka Consumer has been init
kafka.py:147 #INFO     [2026-02-03 17:48:39,963] - root - 0| Kafka response listener has been started!
group_coordinator.py:386 #INFO     [2026-02-03 17:49:04,564] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
