kafka.py:35 #INFO     [2026-02-03 17:10:30,321] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-03 17:10:30,321] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-03 17:10:30,342] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-03 17:10:30,342] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:10:30,342] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:10:33,336] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 53) with member_id aiokafka-0.13.0-f48af763-5b02-4d40-a5cf-93b50645f4c5
group_coordinator.py:1325 #INFO     [2026-02-03 17:10:33,338] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-03 17:10:33,351] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 53
group_coordinator.py:497 #INFO     [2026-02-03 17:10:33,351] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:55 #INFO     [2026-02-03 17:10:33,352] - root - 0| Kafka Consumer has been init
kafka.py:147 #INFO     [2026-02-03 17:10:33,352] - root - 0| Kafka response listener has been started!
group_coordinator.py:830 #WARNING  [2026-02-03 17:10:45,415] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-03 17:10:45,422] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:10:45,423] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:10:45,425] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 54) with member_id aiokafka-0.13.0-f48af763-5b02-4d40-a5cf-93b50645f4c5
group_coordinator.py:1325 #INFO     [2026-02-03 17:10:45,425] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:67 #INFO     [2026-02-03 17:10:45,521] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {'tg-responses': 1} to {'tg-responses': 1, 'tg-commands': 1}. 
group_coordinator.py:1457 #INFO     [2026-02-03 17:10:45,532] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 54
group_coordinator.py:497 #INFO     [2026-02-03 17:10:45,533] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:830 #WARNING  [2026-02-03 17:11:09,585] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-03 17:11:09,597] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:11:09,598] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:11:09,601] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 55) with member_id aiokafka-0.13.0-f48af763-5b02-4d40-a5cf-93b50645f4c5
group_coordinator.py:1325 #INFO     [2026-02-03 17:11:09,601] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-03 17:11:09,612] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 55
group_coordinator.py:497 #INFO     [2026-02-03 17:11:09,612] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:830 #WARNING  [2026-02-03 17:12:39,885] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-03 17:12:39,895] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:12:39,896] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:12:39,899] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 56) with member_id aiokafka-0.13.0-f48af763-5b02-4d40-a5cf-93b50645f4c5
group_coordinator.py:1325 #INFO     [2026-02-03 17:12:39,900] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:67 #INFO     [2026-02-03 17:12:39,975] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {'tg-responses': 1} to {'tg-responses': 1, 'tg-commands': 1}. 
group_coordinator.py:1457 #INFO     [2026-02-03 17:12:39,985] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 56
group_coordinator.py:497 #INFO     [2026-02-03 17:12:39,985] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:830 #WARNING  [2026-02-03 17:13:07,107] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-03 17:13:07,117] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:13:07,118] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:13:07,120] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 57) with member_id aiokafka-0.13.0-f48af763-5b02-4d40-a5cf-93b50645f4c5
group_coordinator.py:1325 #INFO     [2026-02-03 17:13:07,120] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-03 17:13:07,129] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 57
group_coordinator.py:497 #INFO     [2026-02-03 17:13:07,129] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:830 #WARNING  [2026-02-03 17:13:37,207] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-03 17:13:37,220] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:13:37,220] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:13:37,223] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 58) with member_id aiokafka-0.13.0-f48af763-5b02-4d40-a5cf-93b50645f4c5
group_coordinator.py:1325 #INFO     [2026-02-03 17:13:37,224] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:67 #INFO     [2026-02-03 17:13:37,332] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {'tg-responses': 1} to {'tg-responses': 1, 'tg-commands': 1}. 
group_coordinator.py:1457 #INFO     [2026-02-03 17:13:37,343] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 58
group_coordinator.py:497 #INFO     [2026-02-03 17:13:37,343] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:386 #INFO     [2026-02-03 17:48:35,875] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
