kafka.py:36 #INFO     [2026-02-04 11:46:17,977] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 11:46:17,977] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 11:46:17,993] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 11:46:17,994] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 11:46:17,994] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 11:46:20,901] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 136) with member_id aiokafka-0.13.0-868779dc-6f75-4734-b784-aca253ccf040
group_coordinator.py:1325 #INFO     [2026-02-04 11:46:20,904] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 11:46:20,913] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 136
group_coordinator.py:497 #INFO     [2026-02-04 11:46:20,914] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 11:46:20,915] - root - 0| Kafka Consumer has been init
kafka.py:152 #INFO     [2026-02-04 11:46:20,915] - root - 0| Kafka response listener has been started!
group_coordinator.py:386 #INFO     [2026-02-04 11:46:31,310] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
