kafka.py:36 #INFO     [2026-02-04 11:48:43,355] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 11:48:43,355] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 11:48:43,371] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 11:48:43,371] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 11:48:43,371] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 11:48:46,276] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 138) with member_id aiokafka-0.13.0-b9fbf1b5-d179-4c87-ba03-865a4b2a8cb6
group_coordinator.py:1325 #INFO     [2026-02-04 11:48:46,278] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 11:48:46,288] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 138
group_coordinator.py:497 #INFO     [2026-02-04 11:48:46,288] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 11:48:46,288] - root - 0| Kafka Consumer has been init
kafka.py:154 #INFO     [2026-02-04 11:48:46,288] - root - 0| Kafka response listener has been started!
kafka.py:68 #INFO     [2026-02-04 11:48:50,462] - root - 0| Kafka Producer has been stop
group_coordinator.py:386 #INFO     [2026-02-04 11:48:50,482] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
kafka.py:72 #INFO     [2026-02-04 11:48:50,483] - root - 0| Kafka Consumer has been stop
