kafka.py:36 #INFO     [2026-02-04 10:36:04,186] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 10:36:04,187] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 10:36:04,215] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 10:36:04,215] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:36:04,215] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:36:04,262] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 99) with member_id aiokafka-0.13.0-b4e2f259-bc1c-45c4-bdd7-95d0160b6e2b
group_coordinator.py:1457 #INFO     [2026-02-04 10:36:04,273] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 99
group_coordinator.py:497 #INFO     [2026-02-04 10:36:04,274] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 10:36:04,274] - root - 0| Kafka Consumer has been init
kafka.py:149 #INFO     [2026-02-04 10:36:04,275] - root - 0| Kafka response listener has been started!
group_coordinator.py:386 #INFO     [2026-02-04 10:37:36,197] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
