kafka.py:36 #INFO     [2026-02-03 17:55:06,517] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-03 17:55:06,518] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-03 17:55:06,533] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-03 17:55:06,533] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:55:06,534] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:55:08,911] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 72) with member_id aiokafka-0.13.0-8257eec3-2875-47e5-9061-8999d985941e
group_coordinator.py:1457 #INFO     [2026-02-03 17:55:09,050] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 72
group_coordinator.py:497 #INFO     [2026-02-03 17:55:09,050] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-03 17:55:09,051] - root - 0| Kafka Consumer has been init
kafka.py:149 #INFO     [2026-02-03 17:55:09,051] - root - 0| Kafka response listener has been started!
group_coordinator.py:830 #WARNING  [2026-02-03 17:55:24,092] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-03 17:55:24,099] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:55:24,099] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:55:24,101] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 73) with member_id aiokafka-0.13.0-8257eec3-2875-47e5-9061-8999d985941e
group_coordinator.py:1325 #INFO     [2026-02-03 17:55:24,101] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-03 17:55:24,108] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 73
group_coordinator.py:497 #INFO     [2026-02-03 17:55:24,109] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:830 #WARNING  [2026-02-03 17:55:45,186] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-03 17:55:45,197] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:55:45,197] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:55:45,201] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 74) with member_id aiokafka-0.13.0-8257eec3-2875-47e5-9061-8999d985941e
group_coordinator.py:1325 #INFO     [2026-02-03 17:55:45,201] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:67 #INFO     [2026-02-03 17:55:45,303] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {'tg-responses': 1} to {'tg-responses': 1, 'tg-commands': 1}. 
group_coordinator.py:1457 #INFO     [2026-02-03 17:55:45,314] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 74
group_coordinator.py:497 #INFO     [2026-02-03 17:55:45,315] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:386 #INFO     [2026-02-03 17:55:49,493] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
