kafka.py:36 #INFO     [2026-02-04 10:41:57,026] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 10:41:57,026] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 10:41:57,062] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 10:41:57,062] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:41:57,062] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:41:57,718] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 107) with member_id aiokafka-0.13.0-92b83cca-d86d-4995-93e0-137b0c877e3a
group_coordinator.py:1325 #INFO     [2026-02-04 10:41:57,720] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 10:41:57,732] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 107
group_coordinator.py:497 #INFO     [2026-02-04 10:41:57,732] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 10:41:57,733] - root - 0| Kafka Consumer has been init
kafka.py:149 #INFO     [2026-02-04 10:41:57,734] - root - 0| Kafka response listener has been started!
group_coordinator.py:830 #WARNING  [2026-02-04 10:42:06,763] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-04 10:42:06,773] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:42:06,774] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:42:06,777] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 108) with member_id aiokafka-0.13.0-92b83cca-d86d-4995-93e0-137b0c877e3a
group_coordinator.py:1325 #INFO     [2026-02-04 10:42:06,778] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:67 #INFO     [2026-02-04 10:42:07,219] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {'tg-responses': 1} to {'tg-responses': 1, 'tg-commands': 1}. 
group_coordinator.py:1457 #INFO     [2026-02-04 10:42:07,230] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 108
group_coordinator.py:497 #INFO     [2026-02-04 10:42:07,232] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:386 #INFO     [2026-02-04 10:46:37,953] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
