kafka.py:35 #INFO     [2026-02-03 17:50:13,018] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-03 17:50:13,018] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-03 17:50:13,047] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-03 17:50:13,047] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:50:13,047] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:50:13,222] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 63) with member_id aiokafka-0.13.0-1537dde0-349b-4af2-9d59-30cf18d9a6a9
group_coordinator.py:1457 #INFO     [2026-02-03 17:50:13,530] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 63
group_coordinator.py:497 #INFO     [2026-02-03 17:50:13,530] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:55 #INFO     [2026-02-03 17:50:13,531] - root - 0| Kafka Consumer has been init
kafka.py:148 #INFO     [2026-02-03 17:50:13,531] - root - 0| Kafka response listener has been started!
kafka.py:121 #ERROR    [2026-02-03 17:50:47,896] - root - 0| Не удалось отправить сообщение! ex: 'dict' object has no attribute 'decode'
group_coordinator.py:386 #INFO     [2026-02-03 17:51:34,525] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
