kafka.py:36 #INFO     [2026-02-04 10:35:20,898] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 10:35:20,899] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 10:35:20,942] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 10:35:20,942] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:35:20,942] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:35:21,738] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 98) with member_id aiokafka-0.13.0-32c48bb7-8295-489d-b1e0-73946e17415d
group_coordinator.py:1457 #INFO     [2026-02-04 10:35:22,209] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 98
group_coordinator.py:497 #INFO     [2026-02-04 10:35:22,210] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 10:35:22,210] - root - 0| Kafka Consumer has been init
kafka.py:149 #INFO     [2026-02-04 10:35:22,210] - root - 0| Kafka response listener has been started!
group_coordinator.py:386 #INFO     [2026-02-04 10:36:01,844] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
