kafka.py:36 #INFO     [2026-02-04 10:50:05,935] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 10:50:05,937] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 10:50:05,972] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 10:50:05,972] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:50:05,972] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:50:08,882] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 113) with member_id aiokafka-0.13.0-61d8083b-2f24-44a2-a528-a3acf3cde2ee
group_coordinator.py:1325 #INFO     [2026-02-04 10:50:08,918] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 10:50:08,928] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 113
group_coordinator.py:497 #INFO     [2026-02-04 10:50:08,929] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 10:50:08,930] - root - 0| Kafka Consumer has been init
kafka.py:152 #INFO     [2026-02-04 10:50:08,930] - root - 0| Kafka response listener has been started!
group_coordinator.py:386 #INFO     [2026-02-04 10:51:03,498] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
