kafka.py:36 #INFO     [2026-02-03 17:55:50,718] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-03 17:55:50,718] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-03 17:55:50,738] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-03 17:55:50,739] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:55:50,739] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:55:51,360] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 75) with member_id aiokafka-0.13.0-c8ce6198-009b-4ff7-a114-c35c50116c63
group_coordinator.py:1457 #INFO     [2026-02-03 17:55:51,516] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 75
group_coordinator.py:497 #INFO     [2026-02-03 17:55:51,516] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-03 17:55:51,517] - root - 0| Kafka Consumer has been init
kafka.py:149 #INFO     [2026-02-03 17:55:51,517] - root - 0| Kafka response listener has been started!
group_coordinator.py:830 #WARNING  [2026-02-03 17:56:06,576] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-03 17:56:06,586] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-03 17:56:06,586] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-03 17:56:06,590] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 76) with member_id aiokafka-0.13.0-c8ce6198-009b-4ff7-a114-c35c50116c63
group_coordinator.py:1325 #INFO     [2026-02-03 17:56:06,590] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-03 17:56:06,600] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 76
group_coordinator.py:497 #INFO     [2026-02-03 17:56:06,600] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
fetcher.py:665 #ERROR    [2026-02-03 18:08:54,364] - aiokafka.consumer.fetcher - 0| Failed fetch messages from 1: [Error 7] RequestTimedOutError
client.py:294 #WARNING  [2026-02-03 18:08:54,364] - aiokafka - 0| Unable to request metadata from node with id 1: KafkaConnectionError('Connection at localhost:9092 closed')
client.py:315 #ERROR    [2026-02-03 18:08:54,364] - aiokafka - 0| Unable to update metadata from [1]
group_coordinator.py:386 #INFO     [2026-02-03 18:10:03,726] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
