kafka.py:36 #INFO     [2026-02-04 10:01:41,320] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 10:01:41,321] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 10:01:41,376] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 10:01:41,376] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:01:41,376] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:01:44,312] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 78) with member_id aiokafka-0.13.0-1c5e8273-9441-4b08-8702-2868ec49e97f
group_coordinator.py:1325 #INFO     [2026-02-04 10:01:44,320] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 10:01:44,380] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 78
group_coordinator.py:497 #INFO     [2026-02-04 10:01:44,382] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 10:01:44,382] - root - 0| Kafka Consumer has been init
kafka.py:149 #INFO     [2026-02-04 10:01:44,384] - root - 0| Kafka response listener has been started!
group_coordinator.py:830 #WARNING  [2026-02-04 10:02:02,454] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-04 10:02:02,468] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:02:02,468] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:02:02,471] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 79) with member_id aiokafka-0.13.0-1c5e8273-9441-4b08-8702-2868ec49e97f
group_coordinator.py:1325 #INFO     [2026-02-04 10:02:02,471] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:67 #INFO     [2026-02-04 10:02:02,661] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {'tg-responses': 1} to {'tg-commands': 1, 'tg-responses': 1}. 
group_coordinator.py:1457 #INFO     [2026-02-04 10:02:02,672] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 79
group_coordinator.py:497 #INFO     [2026-02-04 10:02:02,673] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:830 #WARNING  [2026-02-04 10:03:38,775] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-04 10:03:38,786] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:03:38,786] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:03:38,789] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 80) with member_id aiokafka-0.13.0-1c5e8273-9441-4b08-8702-2868ec49e97f
group_coordinator.py:1325 #INFO     [2026-02-04 10:03:38,789] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 10:03:38,801] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 80
group_coordinator.py:497 #INFO     [2026-02-04 10:03:38,802] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:386 #INFO     [2026-02-04 10:05:55,020] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
