kafka.py:36 #INFO     [2026-02-04 11:14:27,338] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 11:14:27,338] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 11:14:27,363] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 11:14:27,363] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 11:14:27,363] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 11:14:30,271] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 132) with member_id aiokafka-0.13.0-e0941578-901d-492d-b05e-9f4fe47460a3
group_coordinator.py:1325 #INFO     [2026-02-04 11:14:30,278] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 11:14:30,288] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 132
group_coordinator.py:497 #INFO     [2026-02-04 11:14:30,288] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 11:14:30,288] - root - 0| Kafka Consumer has been init
kafka.py:152 #INFO     [2026-02-04 11:14:30,289] - root - 0| Kafka response listener has been started!
group_coordinator.py:830 #WARNING  [2026-02-04 11:14:36,300] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-04 11:14:36,311] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 11:14:36,311] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 11:14:36,315] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 133) with member_id aiokafka-0.13.0-e0941578-901d-492d-b05e-9f4fe47460a3
group_coordinator.py:1325 #INFO     [2026-02-04 11:14:36,316] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:67 #INFO     [2026-02-04 11:14:36,630] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {'tg-responses': 1} to {'tg-responses': 1, 'tg-commands': 1}. 
group_coordinator.py:1457 #INFO     [2026-02-04 11:14:36,641] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 133
group_coordinator.py:497 #INFO     [2026-02-04 11:14:36,641] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:830 #WARNING  [2026-02-04 11:16:00,854] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-04 11:16:00,865] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 11:16:00,866] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 11:16:00,869] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 134) with member_id aiokafka-0.13.0-e0941578-901d-492d-b05e-9f4fe47460a3
group_coordinator.py:1325 #INFO     [2026-02-04 11:16:00,870] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 11:16:00,879] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 134
group_coordinator.py:497 #INFO     [2026-02-04 11:16:00,880] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:386 #INFO     [2026-02-04 11:16:03,722] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
