kafka.py:36 #INFO     [2026-02-04 10:24:34,646] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 10:24:34,647] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 10:24:34,679] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 10:24:34,679] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:24:34,679] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:24:36,307] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 89) with member_id aiokafka-0.13.0-dc64cac0-9f6e-4fc6-b920-988ec7864d58
group_coordinator.py:1457 #INFO     [2026-02-04 10:24:36,624] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 89
group_coordinator.py:497 #INFO     [2026-02-04 10:24:36,626] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 10:24:36,626] - root - 0| Kafka Consumer has been init
kafka.py:149 #INFO     [2026-02-04 10:24:36,626] - root - 0| Kafka response listener has been started!
group_coordinator.py:830 #WARNING  [2026-02-04 10:24:45,645] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-04 10:24:45,656] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:24:45,656] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:24:45,659] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 90) with member_id aiokafka-0.13.0-dc64cac0-9f6e-4fc6-b920-988ec7864d58
group_coordinator.py:1325 #INFO     [2026-02-04 10:24:45,661] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 10:24:45,671] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 90
group_coordinator.py:497 #INFO     [2026-02-04 10:24:45,672] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:830 #WARNING  [2026-02-04 10:24:54,682] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-04 10:24:54,692] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:24:54,693] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:24:54,696] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 91) with member_id aiokafka-0.13.0-dc64cac0-9f6e-4fc6-b920-988ec7864d58
group_coordinator.py:1325 #INFO     [2026-02-04 10:24:54,696] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:67 #INFO     [2026-02-04 10:24:54,854] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {'tg-responses': 1} to {'tg-responses': 1, 'tg-commands': 1}. 
group_coordinator.py:1457 #INFO     [2026-02-04 10:24:54,865] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 91
group_coordinator.py:497 #INFO     [2026-02-04 10:24:54,865] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:830 #WARNING  [2026-02-04 10:28:55,427] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-04 10:28:55,437] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:28:55,437] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:28:55,440] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 92) with member_id aiokafka-0.13.0-dc64cac0-9f6e-4fc6-b920-988ec7864d58
group_coordinator.py:1325 #INFO     [2026-02-04 10:28:55,440] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 10:28:55,452] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 92
group_coordinator.py:497 #INFO     [2026-02-04 10:28:55,452] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:386 #INFO     [2026-02-04 10:29:03,824] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
