kafka.py:36 #INFO     [2026-02-04 11:14:01,313] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 11:14:01,314] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 11:14:01,344] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 11:14:01,344] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 11:14:01,344] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 11:14:01,809] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 129) with member_id aiokafka-0.13.0-c1e2a2c7-a7c4-460e-b5bd-9147c4033287
group_coordinator.py:1457 #INFO     [2026-02-04 11:14:02,030] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 129
group_coordinator.py:497 #INFO     [2026-02-04 11:14:02,031] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 11:14:02,031] - root - 0| Kafka Consumer has been init
kafka.py:152 #INFO     [2026-02-04 11:14:02,032] - root - 0| Kafka response listener has been started!
group_coordinator.py:830 #WARNING  [2026-02-04 11:14:17,072] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:411 #INFO     [2026-02-04 11:14:17,082] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-responses', partition=0)}) for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 11:14:17,083] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 11:14:17,088] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 130) with member_id aiokafka-0.13.0-c1e2a2c7-a7c4-460e-b5bd-9147c4033287
group_coordinator.py:1325 #INFO     [2026-02-04 11:14:17,088] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1457 #INFO     [2026-02-04 11:14:17,099] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 130
group_coordinator.py:497 #INFO     [2026-02-04 11:14:17,100] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
group_coordinator.py:386 #INFO     [2026-02-04 11:14:21,468] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
